#.t,.Well_15.Q_Out,.Well_16.Q_In1,.Well_16.Q_In2,.Well_16.Q_Out
0,617965.48,40707.035,72,40779.035
0.010000156,85564.544,269275.82,0,269275.82
0.020000225,60711.995,243511.95,0,243511.95
0.030000165,59657.532,170752.95,0,170752.95
0.040000009,58640.768,166131.21,0,166131.21
0.05000036,57835.546,163346.49,0,163346.49
0.060000077,57150.427,160777.51,0,160777.51
0.070000136,56469.721,158227.07,0,158227.07
0.080000186,55789.017,155691.33,0,155691.33
0.090000144,55311.971,153388.32,0,153388.32
0.10000023,55089.905,151565.8,0,151565.8
0.11000043,54886.673,149779.74,0,149779.74
0.12000021,54683.474,148008.47,0,148008.47
0.13000028,54555.848,146443.17,0,146443.17
0.14000048,54558.986,145416.94,0,145416.94
0.15000035,54567.461,144419.77,0,144419.77
0.16000038,54575.949,143432.31,0,143432.31
0.17000051,54751.622,142703.67,0,142703.67
0.1800003,55678.545,143282.81,0,143282.81
0.19000052,56733.725,144042.61,0,144042.61
0.20000048,57790.01,144811.15,0,144811.15
0.21000033,59132.947,145886.69,0,145886.69
0.22000057,63207.585,150478.14,0,150478.14
0.23000072,67955.068,155948.66,0,155948.66
0.24000005,72714.056,161456.92,0,161456.92
0.25000003,77473.353,166974.46,0,166974.46
0.26000157,81908.76,173381.02,0,173381.02
0.27000241,85957.776,180026.7,0,180026.7
0.28000128,89987.247,186697.15,0,186697.15
0.29000221,94017.544,193400.69,0,193400.69
0.3000017,96916.804,199759.45,0,199759.45
0.31000097,99170.726,206119.17,0,206119.17
0.32000065,101401.49,212466.75,0,212466.75
0.33000001,103632.17,218823.28,0,218823.28
0.34000191,105239.2,224186.92,0,224186.92
0.3500001,106112.25,228284.22,0,228284.22
0.36000228,106937.87,232316.23,0,232316.23
0.3700019,107763.21,236331.44,0,236331.44
0.38000158,108106.14,239324.05,0,239324.05
0.39000165,107431.03,239609.49,0,239609.49
0.40000159,106664.43,239703.41,0,239703.41
0.41000134,105897.53,239748.16,0,239748.16
0.42000006,104965.89,239523.67,0,239523.67
0.43000019,103434.5,237834.24,0,237834.24
0.44000033,101835.49,235941.26,0,235941.26
0.45000016,100236.03,234020.63,0,234020.63
0.46000026,98642.025,232098.45,0,232098.45
0.47000021,97142.838,230126.14,0,230126.14
0.48000014,95685.563,228115.12,0,228115.12
0.49000008,94229.201,226096.5,0,226096.5
0.5,92772.841,224074.69,0,224074.69
0.5100003,91125.781,222167.61,0,222167.61
