,Name,InletNode,OutletNode,Length,Geom1,MaxQ,Roughness,InOffset,OutOffset,Shape,Slope,InputModelledInSWMM,Area,AverageValue,TimePatterns,Time Series,Sfactor,Baseline,BreakPoint
0,DOM_7925,R007637,R007275,147.009,0.9,0.045,0.013,12.194,11.9,CIRCULAR,0.001999877558516829,,0.17,0.0002,Serie_Sanitaire,,1.0,0.0096,10.0
1,DOM_56804,R007275,R007274,14.829,0.9,0.055,0.013,11.9,11.869,CIRCULAR,0.0020904983478319903,,,,,,,,10.0
2,DOM_12577,R007274,RA_11702,10.725,0.9,0.055,0.013,11.869,11.848,CIRCULAR,0.0019580419580418665,,,,,,,,10.0
3,DOM_56806,RA_11702,R007273,136.319,0.9,0.055,0.013,11.848,11.575,CIRCULAR,0.0020026555359120993,,,,,,,,10.0
4,DOM_12585,R007273,R007266,164.332,0.9,0.055,0.013,11.575,11.246,CIRCULAR,0.0020020446413358253,,,,,,,,10.0
5,DOM_12571,R007266,R007288,69.312,0.9,0.055,0.013,11.246,11.108,CIRCULAR,0.0019909972299168963,,,,,,,,10.0
6,DOM_12599,R007288,R007269,71.914,0.9,0.055,0.013,11.108,10.963,CIRCULAR,0.0020162972439302686,,,,,,,,10.0
7,DOM_602915,R007269,R212167,79.915,0.9,0.055,0.013,10.963,10.878,CIRCULAR,0.001063630106988664,,,,,,,,10.0
8,DOM_602916,R212167,R007284,4.448,0.9,0.055,0.013,10.878,10.875,CIRCULAR,0.0006744604316547018,,,,,,,,10.0
9,DOM_12589,R007284,R007281,26.813,0.9,0.055,0.013,11.05,11.03,CIRCULAR,0.0007459068362362045,,2.1,0.0008,Serie_Sanitaire,,1.0,0.015,10.0
10,DOM_602606,R007281,R689587,28.813,0.9,0.072,0.013,10.88,10.748,CIRCULAR,0.004581265401034306,UNI_602608,,,,,,,10.0
11,UNI_602607,R689587,R007286,88.808,0.9,0.164,0.013,10.748,10.674,CIRCULAR,0.0008332582650211675,,,,,,,,13.0
12,UNI_12597,R007286,R008128,111.816,0.9,0.164,0.013,10.674,10.349,CIRCULAR,0.0029065607784216864,,,,,,,,13.0
13,UNI_8693,R008128,R008129,53.617,0.9,0.164,0.013,10.349,10.298,CIRCULAR,0.0009511908536471671,U483_Jonquiere,,,,,,,13.0
14,UNI_8674,R008129,R015733,89.678,0.9,0.166,0.013,10.298,10.118,CIRCULAR,0.0020071812484667335,,,,,,,,25.0
15,UNI_13613,R015733,RA_11783,70.643,0.9,0.166,0.013,10.118,10.01,CIRCULAR,0.001528813895219633,,,,,,,,25.0
16,UNI_57361,RA_11783,R015731,52.204,0.9,0.166,0.013,10.01,9.93,CIRCULAR,0.0015324496207187203,,,,,,,,25.0
17,UNI_13620,R015731,R015728,81.131,0.9,0.166,0.013,9.966,9.916,CIRCULAR,0.0006162872391564129,,,,,,,,25.0
18,UNI_13617,R015728,R015726,77.229,0.9,0.166,0.013,9.916,9.692,CIRCULAR,0.0029004648512864365,,,,,,,,25.0
19,UNI_13611,R015726,R015737,115.424,0.9,0.166,0.013,9.692,9.544,CIRCULAR,0.0012822289991682812,,,,,,,,25.0
20,UNI_13610,R015737,R015736,36.237,0.9,0.166,0.013,9.544,9.536,CIRCULAR,0.00022076882744158995,,,,,,,,25.0
21,UNI_13608,R015736,R015738,43.824,0.9,0.166,0.013,9.536,9.436,CIRCULAR,0.0022818546914932375,,,,,,,,25.0
22,UNI_13606,R015738,R015516,47.53,0.9,0.166,0.013,9.436,9.3,CIRCULAR,0.002861350725857337,,,,,,,,25.0
23,UNI_13117,R015516,R015714,27.305,0.6,0.166,0.013,9.3,8.882,CIRCULAR,0.01530855154733569,,,,,,,,25.0
24,UNI_13119,R015714,R015715,64.734,0.6,0.166,0.013,8.882,8.031,CIRCULAR,0.013146105601384113,,,,,,,,25.0
25,UNI_13121,R015715,RA_199687,33.408,0.6,0.166,0.013,8.031,7.472,CIRCULAR,0.01673251915708813,U475_Reg_Scott,,,,,,,25.0
26,UNI_1568728,RA_199687,RA_553606,3.192,0.75,0.252,0.013,7.472,7.418,CIRCULAR,0.01691729323308279,,,,,,,,30.0
27,UNI_13096,RA_553606,R015490,98.726,0.75,0.252,0.013,7.418,6.952,CIRCULAR,0.004720134513704599,,,,,,,,30.0
28,UNI_13099,R015490,R015255,91.024,0.75,0.252,0.013,6.922,6.623,CIRCULAR,0.003284847952188428,,,,,,,,30.0
29,UNI_12832,R015255,R015254,32.984,0.75,0.252,0.013,6.623,6.545,CIRCULAR,0.0023647829250545804,,,,,,,,30.0
30,UNI_12850,R015254,R015252,49.421,0.75,0.252,0.013,6.486,6.34,CIRCULAR,0.0029542097488921694,UNI_12624,,0.0018,Serie_Sanitaire,,1.0,0.0011,30.0
31,UNI_1635183,R015252,R686820,125.735,0.75,0.257,0.013,6.34,6.055,CIRCULAR,0.0022666719688233202,,,,,,,,37.0
32,UNI_1635241,R686820,R015247,88.537,0.75,0.257,0.013,6.045,5.635,CIRCULAR,0.004630832307396909,,,,,,,,37.0
33,UNI_57079,R015247,R015246,2.681,0.75,0.257,0.013,5.635,5.542,CIRCULAR,0.03468854904886235,,,,,,,,37.0
34,UNI_12843,R015246,R015245,24.348,0.75,0.257,0.013,5.482,5.259,CIRCULAR,0.009158863150977487,,,,,,,,37.0
